5; 4; 5; 5000; 6113
5; 5; 5; 3597; 3623
5; 5; 5; 6528; 7306
5; 5; 5; 4558; 4059
5; 5; 5; 2897; 3054
5; 5; 5; 2800; 2868
5; 5; 5; 6419; 6808
5; 5; 5; 2548; 2573
5; 5; 5; 3384; 2788
5; 5; 5; 17183; 18976
5; 5; 5; 9497; 9868
5; 5; 5; 5529; 5815
5; 5; 5; 8790; 9192
5; 5; 5; 7986; 7475
5; 5; 5; 5418; 5482
5; 5; 5; 9888; 9892
5; 5; 5; 6780; 7258
5; 5; 5; 5219; 5055
5; 5; 5; 6324; 6449
5; 5; 5; 5845; 6004
5; 5; 5; 8985; 8790
5; 5; 5; 7256; 7774
5; 5; 5; 10521; 11284
5; 5; 5; 7920; 7326
5; 5; 5; 10093; 10242
5; 5; 5; 6981; 7237
5; 5; 5; 12171; 12903
5; 5; 5; 17789; 18814
1; 0; 0; 0; 0
5; 5; 5; 12159; 12441
1; 0; 0; 0; 0
5; 5; 5; 9892; 10364
5; 5; 5; 9152; 9308
5; 5; 5; 10237; 10054
5; 5; 5; 11712; 11034
5; 5; 5; 8691; 8764
5; 5; 5; 8697; 8731
5; 5; 5; 10161; 10225
5; 5; 5; 10403; 10543
5; 5; 5; 18342; 19541
5; 5; 5; 16583; 17218
5; 5; 5; 12235; 11810
5; 5; 5; 11748; 12113
5; 5; 5; 13828; 14198
5; 5; 5; 14040; 14396
5; 5; 5; 11534; 11621
5; 5; 5; 13752; 14461
5; 5; 5; 11703; 11372
5; 5; 5; 15591; 16154
5; 5; 5; 12026; 12135
5; 5; 5; 13142; 12823
5; 5; 5; 19308; 19832
5; 5; 5; 16710; 16586
5; 5; 5; 13960; 14135
5; 5; 5; 14458; 14454
5; 5; 5; 14130; 14159
5; 5; 5; 12212; 12310
5; 5; 5; 12174; 12228
5; 5; 5; 21922; 22908
5; 5; 5; 17577; 17572
5; 5; 5; 16125; 16256
5; 5; 5; 19207; 19728
5; 5; 5; 19037; 19827
5; 5; 5; 18065; 17348
5; 5; 5; 16320; 16669
5; 5; 5; 15574; 15626
5; 5; 5; 17683; 18232
5; 5; 5; 18831; 19066
5; 5; 5; 16549; 16448
5; 5; 5; 15262; 14994
5; 5; 5; 20533; 21003
5; 5; 5; 18746; 19206
5; 5; 5; 17958; 17659
5; 5; 5; 19425; 19861
5; 5; 5; 16037; 16107
5; 5; 5; 18799; 18802
5; 5; 5; 17766; 17848
5; 5; 5; 18710; 18976
5; 5; 5; 25251; 25911
5; 5; 5; 23176; 23816
5; 5; 5; 17686; 17744
5; 5; 5; 22185; 22000
5; 5; 5; 21877; 22135
5; 5; 5; 22262; 22579
5; 5; 5; 19586; 19758
5; 5; 5; 18285; 18247
5; 5; 5; 30959; 32288
5; 5; 5; 22550; 22546
5; 5; 5; 21835; 22054
5; 5; 5; 24909; 25271
5; 5; 5; 20066; 20143
5; 5; 5; 21486; 21375
5; 5; 5; 25847; 26437
5; 5; 5; 23041; 22833
5; 5; 5; 23942; 24596
5; 5; 5; 23612; 24274
5; 5; 5; 23824; 22673
5; 5; 5; 21255; 21450
5; 5; 5; 24580; 25139
5; 5; 5; 28586; 29015
5; 5; 5; 24804; 25209
5; 5; 5; 25012; 24927
5; 5; 5; 23702; 23953
5; 5; 5; 22754; 22765
5; 5; 5; 22424; 22491
1; 0; 0; 0; 0
5; 5; 5; 26115; 26556
5; 5; 5; 27390; 27644
5; 5; 5; 25180; 25375
5; 5; 5; 23505; 23611
5; 5; 5; 25827; 26373
5; 5; 5; 26888; 27086
5; 5; 5; 28203; 27402
5; 5; 5; 26914; 27325
5; 5; 5; 23761; 23832
5; 5; 5; 24596; 24805
5; 5; 5; 37344; 38310
5; 5; 5; 25551; 25735
5; 5; 5; 28789; 28908
5; 5; 5; 25879; 25934
5; 5; 5; 25661; 25677
5; 5; 5; 30956; 31333
5; 5; 5; 30031; 30313
5; 5; 5; 27626; 28002
5; 5; 5; 28944; 28640
5; 5; 5; 27420; 27631
5; 5; 5; 26219; 26267
5; 5; 5; 36328; 37178
5; 5; 5; 27413; 27516
5; 5; 5; 32535; 32736
5; 5; 5; 32944; 33718
5; 5; 5; 28555; 28674
5; 5; 5; 31838; 31817
5; 5; 5; 29238; 29245
5; 5; 5; 31168; 31646
5; 5; 5; 31275; 31172
5; 5; 5; 32854; 33047
5; 5; 5; 29672; 29902
5; 5; 5; 36267; 36897
5; 5; 5; 31148; 30986
5; 5; 5; 34935; 35708
5; 5; 5; 30599; 30698
5; 5; 5; 35602; 35792
5; 5; 5; 31368; 31577
5; 5; 5; 32489; 32663
5; 5; 5; 32935; 33036
5; 5; 5; 33570; 33822
5; 5; 5; 33959; 33472
5; 5; 5; 35339; 35569
5; 5; 5; 33663; 33951
5; 5; 5; 35242; 36017
5; 5; 5; 38432; 38766
5; 5; 5; 40031; 40152
5; 5; 5; 36450; 37158
5; 5; 5; 34422; 34124
5; 5; 5; 35698; 36026
5; 5; 5; 44096; 44728
5; 5; 5; 44086; 45332
5; 5; 5; 42864; 43005
5; 5; 5; 38169; 38429
5; 5; 5; 41918; 42299
5; 5; 5; 41290; 41035
5; 5; 5; 40609; 41302
5; 5; 5; 40302; 40571
5; 5; 5; 45734; 46415
5; 5; 5; 39707; 39879
5; 5; 5; 43782; 44077
5; 5; 5; 37886; 37999
5; 5; 5; 38400; 37979
5; 5; 5; 39266; 39367
5; 5; 5; 37667; 37661
5; 5; 5; 39721; 39714
5; 5; 5; 38468; 38491
5; 5; 5; 39126; 39447
5; 5; 5; 38094; 38152
5; 5; 5; 39786; 39575
5; 5; 5; 38874; 38793
5; 5; 5; 40963; 41738
5; 5; 5; 42107; 42414
5; 5; 5; 40959; 40477
1; 0; 0; 0; 0
1; 0; 0; 0; 0
5; 5; 5; 40861; 41143
5; 5; 5; 40166; 40484
5; 5; 5; 39565; 38745
5; 5; 5; 42904; 43838
5; 5; 5; 44639; 44519
5; 5; 5; 40787; 41001
5; 5; 5; 40884; 41178
5; 5; 5; 46981; 47254
5; 5; 5; 41591; 41951
5; 5; 5; 49176; 49792
5; 5; 5; 41751; 41579
5; 5; 5; 44447; 44991
5; 5; 5; 41431; 41408
5; 5; 5; 46602; 47677
5; 5; 5; 55837; 56288
5; 5; 5; 48000; 48157
5; 5; 5; 46035; 45565
5; 5; 5; 46017; 46339
5; 5; 5; 46299; 46516
5; 5; 5; 47588; 47968
5; 5; 5; 44575; 44644
5; 5; 5; 49159; 49551
5; 5; 5; 46719; 46522
5; 5; 5; 50149; 51256
5; 5; 5; 49856; 49711
5; 5; 5; 46874; 47088
5; 5; 5; 53728; 53834
5; 5; 5; 45442; 45625
5; 5; 5; 47502; 47732
5; 5; 5; 46007; 45808
5; 5; 5; 46907; 47043
5; 5; 5; 50423; 50913
5; 5; 5; 56333; 57086
5; 5; 5; 54972; 55543
5; 5; 5; 48015; 48171
5; 5; 5; 48567; 48682
5; 5; 5; 49381; 49577
5; 5; 5; 50883; 51501
5; 5; 5; 50204; 49797
5; 5; 5; 54135; 54619
5; 5; 5; 48636; 48771
5; 5; 5; 52580; 53121
5; 5; 5; 51069; 50612
5; 5; 5; 48419; 48461
5; 5; 5; 49361; 49480
5; 5; 5; 55213; 55602
5; 5; 5; 51649; 52038
5; 5; 5; 54619; 54930
5; 5; 5; 55862; 56625
5; 5; 5; 54681; 53835
5; 5; 5; 50462; 50717
5; 5; 5; 53270; 53943
5; 5; 5; 50851; 50878
5; 5; 5; 52830; 52473
5; 5; 5; 59980; 60731
5; 5; 5; 52007; 52320
5; 5; 5; 53075; 53443
5; 5; 5; 52936; 52919
5; 5; 5; 53403; 52994
5; 5; 5; 54069; 54597
5; 5; 5; 51826; 51671
5; 5; 5; 59541; 60255
5; 5; 5; 52113; 52126
5; 5; 5; 52691; 52683
5; 5; 5; 52830; 52957
5; 5; 5; 55817; 55805
5; 5; 5; 52631; 52501
5; 5; 5; 53347; 53420
5; 5; 5; 55364; 55522
5; 5; 5; 54371; 54624
5; 5; 5; 56364; 56576
5; 5; 5; 58134; 58587
5; 5; 5; 53648; 53751
5; 5; 5; 53399; 53436
5; 5; 5; 58870; 58822
5; 5; 5; 59308; 59879
5; 5; 5; 56657; 56612
5; 5; 5; 59984; 60850
5; 5; 5; 65594; 66975
1; 0; 0; 0; 0
5; 5; 5; 60478; 60092
5; 5; 5; 56279; 56434
5; 5; 5; 60200; 59646
5; 5; 5; 56948; 57321
5; 5; 5; 60174; 59740
5; 5; 5; 59459; 59810
5; 5; 5; 56465; 56491
5; 5; 5; 56228; 56323
5; 5; 5; 59087; 59191
5; 5; 5; 59003; 59108
5; 5; 5; 67227; 68454
5; 5; 5; 59979; 59936
5; 5; 5; 69035; 69577
5; 5; 5; 60829; 61046
5; 5; 5; 59672; 59646
5; 5; 5; 60478; 60361
5; 5; 5; 64014; 64650
5; 5; 5; 60147; 60197
5; 5; 5; 61753; 61953
5; 5; 5; 61042; 61285
5; 5; 5; 63847; 64473
5; 5; 5; 61359; 61229
5; 5; 5; 64998; 64832
5; 5; 5; 64007; 64481
5; 5; 5; 73456; 74603
5; 5; 5; 64117; 64035
5; 5; 5; 66319; 66873
5; 5; 5; 63241; 63472
5; 5; 5; 69809; 70326
5; 5; 5; 62748; 62549
5; 5; 5; 62549; 62715
5; 5; 5; 64827; 65024
5; 5; 5; 66398; 66833
5; 5; 5; 63319; 63285
5; 5; 5; 71023; 71842
5; 5; 5; 75358; 76197
5; 5; 5; 66044; 65919
5; 5; 5; 65247; 65049
5; 5; 5; 65371; 65642
5; 5; 5; 65307; 65552
5; 5; 5; 66529; 66298
5; 5; 5; 65426; 65565
5; 5; 5; 69892; 71083
5; 5; 5; 67684; 66796
5; 5; 5; 66447; 66636
5; 5; 5; 71043; 71751
5; 5; 5; 72188; 72676
5; 5; 5; 70839; 71329
5; 5; 5; 69609; 69169
5; 5; 5; 71852; 72719
5; 5; 5; 67701; 67893
5; 5; 5; 68193; 68190
5; 5; 5; 70303; 70096
5; 5; 5; 68991; 69361
5; 5; 5; 67537; 67606
5; 5; 5; 68994; 68772
5; 5; 5; 72347; 73147
5; 5; 5; 71901; 71106
5; 5; 5; 69110; 68977
1; 0; 0; 0; 0
5; 5; 5; 73143; 73861
5; 5; 5; 70244; 70685
5; 5; 5; 70746; 70944
1; 0; 0; 0; 0
5; 5; 5; 70635; 70420
5; 5; 5; 71933; 71820
5; 5; 5; 77368; 78501
5; 5; 5; 74507; 74096
5; 5; 5; 73174; 72985
5; 5; 5; 69514; 69700
5; 5; 5; 73886; 74391
5; 5; 5; 72380; 72843
5; 5; 5; 79817; 80669
5; 5; 5; 75284; 75273
5; 5; 5; 72922; 72738
5; 5; 5; 71810; 71995
5; 5; 5; 73809; 74407
5; 5; 5; 75329; 75823
5; 5; 5; 74882; 75603
5; 5; 5; 72458; 71809
5; 5; 5; 74518; 74974
5; 5; 5; 75567; 75524
5; 5; 5; 78523; 78545
5; 5; 5; 73639; 73526
5; 5; 5; 78953; 79905
5; 5; 5; 78364; 78037
5; 5; 5; 75120; 75067
5; 5; 5; 73188; 73270
5; 5; 5; 73718; 73779
5; 5; 5; 77656; 78397
5; 5; 5; 79219; 79083
5; 5; 5; 74307; 74278
5; 5; 5; 77051; 77682
5; 5; 5; 77385; 77380
5; 5; 5; 75314; 74987
5; 5; 5; 74746; 74947
5; 5; 5; 76907; 77320
5; 5; 5; 78062; 78286
5; 5; 5; 75388; 75576
5; 5; 5; 74800; 74853
5; 5; 5; 82208; 82457
5; 5; 5; 76019; 76052
5; 5; 5; 77752; 78028
5; 5; 5; 81177; 81639
1; 0; 0; 0; 0
5; 5; 5; 79414; 79641
5; 5; 5; 79583; 79624
5; 5; 5; 84609; 85502
5; 5; 5; 78026; 78248
5; 5; 5; 78216; 78479
5; 5; 5; 85978; 86128
5; 5; 5; 77849; 77662
5; 5; 5; 78522; 78736
5; 5; 5; 78448; 78683
5; 5; 5; 87756; 88362
5; 5; 5; 81449; 81326
5; 5; 5; 81622; 81615
1; 0; 0; 0; 0
5; 5; 5; 82218; 82431
5; 5; 5; 86073; 86227
5; 5; 5; 80197; 80222
5; 5; 5; 81235; 81706
5; 5; 5; 84176; 84524
5; 5; 5; 93497; 94338
5; 5; 5; 84624; 85177
5; 5; 5; 81953; 82143
5; 5; 5; 83835; 83978
5; 5; 5; 86362; 86646
5; 5; 5; 85181; 85441
5; 5; 5; 86923; 87626
5; 5; 5; 83456; 83379
5; 5; 5; 83929; 83945
