protocol=2 seed=67 ops=10000
DET scan_inverted 0
DET scan_snapshot 1
DET delrange_empty ok
SCAN [key1619, key2633) size=20
SCAN [key5799, key8101) size=21
SCAN [key6667, key7220) size=8
SCAN [key2341, key6671) size=98
SCAN [key6476, key77) size=13
SCAN [key4987, key8073) size=38
SCAN [key2990, key3682) size=26
SCAN [key497, key8683) size=53
SCAN [key3581, key5089) size=32
SCAN [key9264, key9877) size=9
SCAN [key3270, key5832) size=64
SCAN [key1727, key6745) size=127
SCAN [key1679, key2605) size=21
SCAN [key4639, key5396) size=18
SCAN [key3929, key9801) size=119
SCAN [key9698, key9936) size=3
SCAN [key1432, key7762) size=152
SCAN [key2132, key8377) size=9
SCAN [key1272, key9523) size=61
SCAN [key3346, key9971) size=53
SCAN [key1744, key6199) size=3
SCAN [key3599, key8840) size=39
SCAN [key4516, key8610) size=2
SCAN [key7996, key7997) size=0
SCAN [key1185, key5534) size=39
SCAN [key7936, key948) size=7
SCAN [key3688, key8579) size=19
SCAN [key1273, key5786) size=41
SCAN [key261, key6314) size=14
SCAN [key3931, key3949) size=0
SCAN [key1283, key6602) size=38
SCAN [key4806, key7537) size=6
SCAN [key5223, key5452) size=1
SCAN [key4822, key512) size=3
SCAN [key1660, key756) size=21
SCAN [key2837, key7012) size=0
SCAN [key1648, key7170) size=7
SCAN [key2595, key7444) size=4
SCAN [key5318, key6772) size=0
SCAN [key1394, key4208) size=4
SCAN [key5125, key7070) size=0
SCAN [key1471, key2569) size=4
SCAN [key4005, key6404) size=5
SCAN [key3573, key4621) size=3
SCAN [key8880, key9240) size=1
SCAN [key4528, key9810) size=29
SCAN [key7993, key8542) size=1
SCAN [key6320, key7534) size=4
SCAN [key2147, key4505) size=0
SCAN [key7150, key7298) size=0
SCAN [key2932, key4902) size=1
SCAN [key9036, key9622) size=12
SCAN [key1684, key275) size=5
SCAN [key4402, key9529) size=25
SCAN [key4161, key9142) size=22
SCAN [key334, key3954) size=5
SCAN [key5928, key9855) size=39
SCAN [key2621, key4704) size=12
SCAN [key7552, key9583) size=29
SCAN [key2953, key901) size=44
SCAN [key4638, key6758) size=7
SCAN [key6214, key7814) size=13
SCAN [key7713, key9691) size=40
SCAN [key7455, key7873) size=6
SCAN [key2778, key882) size=44
SCAN [key5222, key7789) size=21
SCAN [key1747, key3686) size=14
SCAN [key1187, key4433) size=16
SCAN [key6210, key9717) size=53
SCAN [key9457, key999) size=19
SCAN [key5037, key8042) size=10
